kind	pascalName	pascalValue	language	mnemonic	context	status	javaAnalog	note
key	kbCtrlShiftF4	$076100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftF4	$0B6B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftF5	$076200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftF5	$0B6C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftF6	$076300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftF6	$0B6D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftF7	$076400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftF7	$0B6E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftF8	$076500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftF8	$0B6F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftF9	$076600			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftF9	$0B7000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftF10	$076700			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftF10	$0B7100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftF11	$078900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftF11	$0B8B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftF12	$078A00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftF12	$0B8C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF1	$0C6800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF1	$0F6800			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF2	$0C6900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF2	$0F6900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF3	$0C6A00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF3	$0F6A00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF4	$0C6B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF4	$0F6B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF5	$0C6C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF5	$0F6C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF6	$0C6D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF6	$0F6D00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF7	$0C6E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF7	$0F6E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF8	$0C6F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF8	$0F6F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF9	$0C7000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF9	$0F7000			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF10	$0C7100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF10	$0F7100			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF11	$0C8B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF11	$0F8B00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltF12	$0C8C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftF12	$0F8C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbTilde	$002960			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftTilde	$03297E			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltTilde	$082900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbBack	$000E08			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftBack	$030E08			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlBack	$040E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltBack	$080E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbTab	$000F09			Commands.pas	adapter	org.dosnavigator.terminal.KeyType.Tab	Pascal key catalogued.
key	kbShiftTab	$030F00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlTab	$049400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltTab	$08A500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbEnter	$001C0D			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftEnter	$031C0D			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlEnter	$041C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltEnter	$081C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbSpace	$003920			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftSpace	$033920			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlSpace	$043900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltSpace	$083920			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltGrayEnter	$08A600			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftTilde	$0B2900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltTilde	$0C2900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftBack	$070E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftBack	$0B0E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftTab	$079400			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftTab	$0BA500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftEnter	$071C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftEnter	$0B1C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlShiftSpace	$073900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltShiftSpace	$0B3920			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftTilde	$0F2900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltBack	$0C0E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftBack	$0F0E00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltTab	$0CA500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftTab	$0FA500			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltEnter	$0C1C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftEnter	$0F1C00			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltSpace	$0C3900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlAltShiftSpace	$0F3900			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbIns	$005200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftIns	$035200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlIns	$049200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltIns	$08A200			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbDel	$005300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbShiftDel	$035300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbCtrlDel	$049300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
key	kbAltDel	$08A300			Commands.pas	prototype to replace	none; terminal mapping pending	Pascal key catalogued.
